id	category	before_path	after_path	archive_path	tags	purpose	needed	builtin_alternative	overlap	context_load	false_positive	failure_impact	verification	low_cost_model	deterministic_replacement	disposition	evidence
agent:ai-engineer	agent	claude/agents/ai-engineer.md	claude/agents/ai-engineer.md	-		AI/ML production implementation	high	none	none	none	low	medium	frontmatter/schema + task review	partial	lint/tests supplement	keep	report §3.3; git history
agent:blockchain-security-auditor	agent	claude/agents/blockchain-security-auditor.md	claude/agents/blockchain-security-auditor.md	-	review	independent smart-contract security audit	high	none	domain-specific; not generic reviewer	none	over-reporting possible	high	read-only isolation + review output	no	SAST supplements only	keep	report §3.3; git history
agent:code-reviewer	agent	claude/agents/code-reviewer.md	claude/agents/code-reviewer.md	-	review-progress-retrospective	independent code/security review	high	none	security-reviewer merged here	none	duplicate findings	medium	read-only tool restriction + review tests	yes	lint/SAST supplements	merge/keep	report §3.3; git history
agent:data-engineer	agent	claude/agents/data-engineer.md	claude/agents/data-engineer.md	-		data pipeline design and implementation	high	none	none	none	low	medium	frontmatter/schema + task review	partial	data validation supplements	keep	report §3.3; git history
agent:deep-reasoner	agent	claude/agents/deep-reasoner.md	claude/agents/deep-reasoner.md	-	routing	high-risk architecture/root-cause reasoning	conditional	none	built-in general reasoning overlaps partially	none	overuse raises cost	medium	routing contract and owner review	no	no	keep with escalation-only routing	report §3.3; git history
agent:explore	agent	-	claude/agents/explore.md	-	builtin-override routing	read-only codebase exploration on Haiku	high	built-in Explore	intentional exact-name override	none	incomplete search findings	low	frontmatter + runtime transcript	yes	rg/static search partial	add intentional override	official subagent docs; runtime probe
agent:fast-worker	agent	claude/agents/fast-worker.md	-	-	builtin-overlap	low-cost generic worker	low	built-in general-purpose + tier alias	project-orchestrator	none	misrouting and handoff churn	low	path absence + metrics	yes	tier selection	delete	report §3.3; git history
agent:model-qa-specialist	agent	claude/agents/model-qa-specialist.md	claude/agents/model-qa-specialist.md	-	review	independent ML quality/fairness audit	high	none	none	none	false positives from incomplete evidence	high	read-only audit output	partial	evaluation scripts supplement	keep	report §3.3; git history
agent:plan-reviewer-completeness	agent	claude/agents/plan-reviewer-completeness.md	claude/agents/plan-reviewer.md	-	review-progress-retrospective	plan completeness review	medium	none	two sibling plan reviewers	none	triple-review cost	low	merged-agent contract	yes	no	merge	report §3.3; git history
agent:plan-reviewer-critic	agent	claude/agents/plan-reviewer-critic.md	claude/agents/plan-reviewer.md	-	review-progress-retrospective	plan critique	medium	none	two sibling plan reviewers	none	triple-review cost	low	merged-agent contract	yes	no	merge	report §3.3; git history
agent:plan-reviewer-feasibility	agent	claude/agents/plan-reviewer-feasibility.md	claude/agents/plan-reviewer.md	-	review-progress-retrospective	plan feasibility review	medium	none	two sibling plan reviewers	none	triple-review cost	low	merged-agent contract	yes	no	merge	report §3.3; git history
agent:project-orchestrator	agent	claude/agents/project-orchestrator.md	-	-	builtin-overlap routing	route every task through orchestration	low	single owner + built-in orchestration	fast-worker	none	unconditional delegation	medium	path absence + routing tests	yes	routing rules	delete	report §3.3; git history
agent:security-reviewer	agent	claude/agents/security-reviewer.md	claude/agents/code-reviewer.md	-	review-progress-retrospective	generic security review	medium	code-reviewer security checklist	code-reviewer	none	duplicate findings	medium	merged-agent contract	yes	SAST supplements	merge	report §3.3; git history
agent:solidity-engineer	agent	claude/agents/solidity-engineer.md	claude/agents/solidity-engineer.md	-		secure Solidity implementation	high	none	none	none	low	high	frontmatter/schema + domain tests	partial	forge/slither supplement	keep	report §3.3; git history
agent:sre	agent	claude/agents/sre.md	claude/agents/sre.md	-		reliability/observability implementation	high	none	none	none	low	high	frontmatter/schema + task tests	partial	monitoring tests supplement	keep	report §3.3; git history
agent:codex-explorer	agent	-	codex/agents/explorer.toml	-	builtin-override routing	read-only codebase exploration on Terra	high	built-in explorer	intentional exact-name override	none	incomplete search findings	low	TOML schema + runtime session metadata	yes	rg/static search partial	add	official Codex subagent docs; runtime audit
agent:codex-reviewer	agent	-	codex/agents/reviewer.toml	-	review-progress-retrospective	independent code/security review on Sol	high	codex review overlaps partially	narrow reusable review role	none	duplicate findings	medium	TOML schema + runtime session metadata	no	lint/SAST supplements	add	official Codex custom agent docs
agent:codex-plan-reviewer	agent	-	codex/agents/plan_reviewer.toml	-	review-progress-retrospective	independent plan review on Sol	high	none	plan-review skill executor	none	duplicate review	low	TOML schema + runtime session metadata	no	deterministic checks first	add	official Codex custom agent docs
agent:codex-deep-reasoner	agent	-	codex/agents/deep_reasoner.toml	-	routing	high-risk architecture and root-cause analysis on Sol xhigh	conditional	built-in general reasoning overlaps partially	escalation-only role	none	overuse raises cost	medium	TOML schema + runtime session metadata	no	no	add	official Codex custom agent docs
mechanism:root-claude	always-on-instruction	claude/CLAUDE.md	claude/CLAUDE.md	-	always-on	repository purpose, commands, shared constraints and routing summary	high	built-in project memory partially	detailed skills/rules moved out	always-on	stale instruction	high	byte/line metrics + validation	n/a	no	shrink/keep	inventory audit / tests / report
mechanism:root-codex	always-on-instruction	codex/AGENTS.md	codex/AGENTS.md	-	always-on	Codex repository instructions	high	none	Python guidance moved to reference	always-on	stale instruction	high	byte/line metrics	n/a	no	shrink/keep	inventory audit / tests / report
archive:obsolete-skills	archive	active skill directories listed above	-	docs/archive/skills/	archive	retain removed skill history without runtime loading	optional	git history	none	none	stale reuse	low	archive path + stale scan	n/a	yes	archive	archive README
mechanism:ci	ci	.github/workflows/ci.yml	.github/workflows/ci.yml	-		execute deterministic validation and tests	high	GitHub Actions	local scripts	per change	environment mismatch	high	workflow + local parity	n/a	yes	expand	inventory audit / tests / report
mechanism:precommit	ci	claude/githooks/pre-commit	claude/githooks/pre-commit	-		gitleaks pre-commit gate	high	none	CI secret scanning partial	per commit	tool missing	medium	bootstrap hooksPath + syntax	n/a	yes	keep	inventory audit / tests / report
claude-rule:code-quality	claude-rule	claude/rules/code-quality.md	shared/skills/implementation-quality/SKILL.md	-		general code-quality guidance	high	partial	implementation-quality	on-demand	low	medium	skill contract + runtime discovery	n/a	lint/validator partial	merge/lazy	Claude 5 context modernization
claude-rule:markdown	claude-rule	claude/rules/markdown.md	claude/rules/markdown.md	-		Markdown conventions	high	partial	none	path-scoped	low	medium	validator/sync	n/a	lint/validator partial	keep	report §3.1
claude-rule:python	claude-rule	claude/rules/python.md	claude/rules/python.md	-		Python conventions	high	partial	python-quality reference partial	path-scoped	low	medium	validator/sync	n/a	lint/validator partial	keep	report §3.1
claude-rule:safety	claude-rule	claude/rules/safety.md	claude/CLAUDE.md	-		Claude-specific safety constraints	high	partial	core contract + managed policy	always-on small	low	medium	validator/sync	n/a	lint/validator partial	merge/core	Claude 5 context modernization
claude-rule:settings-syntax	claude-rule	claude/rules/settings-syntax.md	claude/rules/settings-syntax.md	-		settings syntax/scope knowledge	high	partial	validator supplements	path-scoped	low	medium	validator/sync	n/a	lint/validator partial	keep	report §3.1
claude-rule:workflow	claude-rule	claude/rules/workflow.md	-	-		general workflow instructions	low	partial	shared rules overlap	always-on	low	medium	validator/sync	n/a	lint/validator partial	merge/delete	report §3.1
claude-rule:workspace	claude-rule	claude/rules/workspace.md	-	-		workspace hygiene	low	partial	shared workspace-hygiene	always-on	low	medium	validator/sync	n/a	lint/validator partial	merge/delete	report §3.1
claude-skill:branch-cleanup	claude-skill	claude/skills/branch-cleanup/SKILL.md	shared/skills/branch-cleanup/SKILL.md	-		branch cleanup workflow	medium	none	none	manual-only	wrong branch deletion	medium	skill schema + permission ask	yes	git checks	keep	report §3.4/Phase 4; archive; tests; install: .claude/skills/branch-cleanup, .agents/skills/branch-cleanup via install/manifest.tsv
shared-skill:git-operations	shared-skill	-	shared/skills/git-operations/SKILL.md	-		mode-separated generic Git operation router	high	none	dedicated gh and cleanup skills	on-demand	wrong authority inference	high	authority contract + runtime discovery	yes	git checks	add/lazy	Claude 5 context modernization
shared-skill:implementation-quality	shared-skill	-	shared/skills/implementation-quality/SKILL.md	-		context-sensitive quality rule router	high	none	path rules and deterministic checks	on-demand	missed quality gate	high	consumer contract + runtime discovery	yes	lint and tests	add/lazy	Claude 5 context modernization
shared-skill:article-style	shared-skill	-	shared/skills/article-style/SKILL.md	-		public-facing prose style guidance	high	none	none	on-demand	style false positive	low	skill schema + install check	yes	manual checklist	add/lazy	owner-frozen skill; manifest repair
claude-skill:break-consensus	claude-skill	-	shared/skills/claude-code/break-consensus/SKILL.md	-	innovation	manual innovation exploration	required	none	none	manual-only	inappropriate use	low	manual-only flag + novelty audit	partial	no	add	report §3.4/Phase 4; archive; tests
resource:claude-break-consensus-references	claude-skill-resource	-	shared/skills/claude-code/break-consensus/references	-		package-local evidence reference link	high	none	canonical shared reference	on-demand	stale link	medium	validator + runtime audit	n/a	yes	add	Claude runtime path failure 2026-07-29
claude-skill:config-audit	claude-skill	claude/skills/config-audit/SKILL.md	shared/skills/claude-code/config-audit/SKILL.md	-	review	configuration audit	medium	none	validate-layout overlaps partially	manual-only	false warning	low	validator + skill schema	yes	validator primary	keep	report §3.4/Phase 4; archive; tests
resource:claude-config-audit-references	claude-skill-resource	-	shared/skills/claude-code/config-audit/references	-		package-local audit workflow reference link	high	none	canonical shared reference	on-demand	stale link	medium	validator + runtime audit	n/a	yes	add	Claude package path audit 2026-07-29
claude-skill:deep-research-mode	claude-skill	claude/skills/deep-research-mode/SKILL.md	-	docs/archive/skills/deep-research-mode/SKILL.md		generic deep research mode	low	built-in exploration	model-routing	manual-only	overresearch	low	archive presence	yes	no	archive	report §3.4/Phase 4; archive; tests
claude-skill:gh:coderabbit	claude-skill	claude/skills/gh:coderabbit/SKILL.md	-	docs/archive/skills/gh:coderabbit/SKILL.md	review-progress-retrospective	external PR review integration	low	none	pr-review	manual-only	external dependency drift	low	archive presence	yes	no	archive	report §3.4/Phase 4; archive; tests
claude-skill:gh:index	claude-skill	claude/skills/gh:index/SKILL.md	shared/skills/gh-index/SKILL.md	-		GitHub workflow index	medium	none	none	manual-only	stale command names	low	skill schema + stale scan	yes	no	rename/keep	report §3.4/Phase 4; archive; tests
claude-skill:gh:issue	claude-skill	claude/skills/gh:issue/SKILL.md	shared/skills/claude-code/gh-issue/SKILL.md	-		issue workflow	high	none	none	manual-only	external action confusion	medium	contract tests + ask rules	yes	gh CLI helper	rename/keep	report §3.4/Phase 4; archive; tests
